Algoritmo;Sucesso;Custo g(n);Passos;Expandidos;Pico Fronteira;Tempo (s);Utilidade (J)
BFS;Sim;45.0;45;132;6;0.000263;-26.55
BFS;Sim;45.0;45;132;6;0.000271;-26.55
