raio_percepcao,algoritmo,sucesso,movimentos_totais,custo_real,celulas_reveladas,celulas_revisitadas,replanejamentos,tempo_execucao,razao_online_offline,custo_otimo_offline
0,hill_climbing,True,168,168,159,10,0,0.0005367437998453777,1.0,168
0,simulated_annealing,True,168,168,159,10,0,0.0005986293156941732,1.0,168
